Time stamp sent long;Time stamp sent short [microseconds];Time stamp received long;Time stamp received short [microseconds];Infrared_FrontRight;Infrared_Rear;Infrared_RearRight;UltraSonic_FrontCenter;UltraSonic_FrontRight;UltraSonic_RearRight
2017-02-09 19:32:27.678600;1486668747678600;2017-02-09 19:32:27.679317;1486668747679317;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:27.777303;1486668747777303;2017-02-09 19:32:27.778144;1486668747778144;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:27.878841;1486668747878841;2017-02-09 19:32:27.879328;1486668747879328;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:27.980692;1486668747980692;2017-02-09 19:32:27.982873;1486668747982873;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:28.77242;1486668748077242;2017-02-09 19:32:28.80800;1486668748080800;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:28.178970;1486668748178970;2017-02-09 19:32:28.180364;1486668748180364;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:28.280917;1486668748280917;2017-02-09 19:32:28.288677;1486668748288677;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:28.379334;1486668748379334;2017-02-09 19:32:28.380033;1486668748380033;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:28.482608;1486668748482608;2017-02-09 19:32:28.483474;1486668748483474;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:28.577501;1486668748577501;2017-02-09 19:32:28.585526;1486668748585526;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:28.678024;1486668748678024;2017-02-09 19:32:28.682646;1486668748682646;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:28.778550;1486668748778550;2017-02-09 19:32:28.780654;1486668748780654;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:28.877174;1486668748877174;2017-02-09 19:32:28.878232;1486668748878232;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:28.977047;1486668748977047;2017-02-09 19:32:28.977762;1486668748977762;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:29.77676;1486668749077676;2017-02-09 19:32:29.79869;1486668749079869;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:29.176984;1486668749176984;2017-02-09 19:32:29.178637;1486668749178637;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:29.277250;1486668749277250;2017-02-09 19:32:29.278366;1486668749278366;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:29.377040;1486668749377040;2017-02-09 19:32:29.378181;1486668749378181;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:29.477304;1486668749477304;2017-02-09 19:32:29.478374;1486668749478374;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:29.579206;1486668749579206;2017-02-09 19:32:29.580027;1486668749580027;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:29.677999;1486668749677999;2017-02-09 19:32:29.679137;1486668749679137;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:29.779493;1486668749779493;2017-02-09 19:32:29.780601;1486668749780601;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:29.879564;1486668749879564;2017-02-09 19:32:29.882763;1486668749882763;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:29.976935;1486668749976935;2017-02-09 19:32:29.979399;1486668749979399;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:30.84260;1486668750084260;2017-02-09 19:32:30.85815;1486668750085815;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:30.177462;1486668750177462;2017-02-09 19:32:30.185675;1486668750185675;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:30.279162;1486668750279162;2017-02-09 19:32:30.279641;1486668750279641;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:30.382958;1486668750382958;2017-02-09 19:32:30.385092;1486668750385092;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:30.480552;1486668750480552;2017-02-09 19:32:30.482538;1486668750482538;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:30.579081;1486668750579081;2017-02-09 19:32:30.583399;1486668750583399;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:30.678642;1486668750678642;2017-02-09 19:32:30.680187;1486668750680187;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:30.776841;1486668750776841;2017-02-09 19:32:30.785961;1486668750785961;-1;-1;-1;-1;-1;-1
